poem_key,title,author,dynasty,content,sequence
poem_01,咏柳,贺知章,唐,碧玉妆成一树高，万条垂下绿丝绦。不知细叶谁裁出，二月春风似剪刀。,1
poem_02,绝句,杜甫,唐,两个黄鹂鸣翠柳，一行白鹭上青天。窗含西岭千秋雪，门泊东吴万里船。,2
poem_03,江南,汉乐府,汉,江南可采莲，莲叶何田田。鱼戏莲叶间。鱼戏莲叶东，鱼戏莲叶西，鱼戏莲叶南，鱼戏莲叶北。,3
poem_04,池上,白居易,唐,小娃撑小艇，偷采白莲回。不解藏踪迹，浮萍一道开。,4
poem_05,赋得古原草送别,白居易,唐,离离原上草，一岁一枯荣。野火烧不尽，春风吹又生。远芳侵古道，晴翠接荒城。又送王孙去，萋萋满别情。,5
poem_06,鹿柴,王维,唐,空山不见人，但闻人语响。返景入深林，复照青苔上。,6
poem_07,元日,王安石,宋,爆竹声中一岁除，春风送暖入屠苏。千门万户曈曈日，总把新桃换旧符。,7
poem_08,忆江南,白居易,唐,江南好，风景旧曾谙。日出江花红胜火，春来江水绿如蓝。能不忆江南？,8
poem_09,饮湖上初晴后雨,苏轼,宋,水光潋滟晴方好，山色空蒙雨亦奇。欲把西湖比西子，淡妆浓抹总相宜。,9
poem_10,春晓,孟浩然,唐,春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。,10
poem_11,寻隐者不遇,贾岛,唐,松下问童子，言师采药去。只在此山中，云深不知处。,11
poem_12,风,李峤,唐,解落三秋叶，能开二月花。过江千尺浪，入竹万竿斜。,12
poem_13,春夜喜雨,杜甫,唐,好雨知时节，当春乃发生。随风潜入夜，润物细无声。野径云俱黑，江船火独明。晓看红湿处，花重锦官城。,13
poem_14,敕勒歌,北朝民歌,北朝,敕勒川，阴山下。天似穹庐，笼盖四野。天苍苍，野茫茫。风吹草低见牛羊。,14
poem_15,静夜思,李白,唐,床前明月光，疑是地上霜。举头望明月，低头思故乡。,15
poem_16,古朗月行,李白,唐,小时不识月，呼作白玉盘。又疑瑶台镜，飞在青云端。,16
poem_17,江畔独步寻花,杜甫,唐,黄四娘家花满蹊，千朵万朵压枝低。留连戏蝶时时舞，自在娇莺恰恰啼。,17
poem_18,悯农·其二,李绅,唐,锄禾日当午，汗滴禾下土。谁知盘中餐，粒粒皆辛苦。,18
poem_19,游园不值,叶绍翁,宋,应怜屐齿印苍苔，小扣柴扉久不开。春色满园关不住，一枝红杏出墙来。,19
poem_20,西江月·夜行黄沙道中,辛弃疾,宋,明月别枝惊鹊，清风半夜鸣蝉。稻花香里说丰年，听取蛙声一片。七八个星天外，两三点雨山前。旧时茅店社林边，路转溪桥忽见。,20
poem_21,浣溪沙,晏殊,宋,一曲新词酒一杯，去年天气旧亭台。夕阳西下几时回？无可奈何花落去，似曾相识燕归来。小园香径独徘徊。,21
poem_22,蜂,罗隐,唐,不论平地与山尖，无限风光尽被占。采得百花成蜜后，为谁辛苦为谁甜？,22
poem_23,所见,袁枚,清,牧童骑黄牛，歌声振林樾。意欲捕鸣蝉，忽然闭口立。,23
poem_24,渔歌子,张志和,唐,西塞山前白鹭飞，桃花流水鳜鱼肥。青箬笠，绿蓑衣，斜风细雨不须归。,24
poem_25,望洞庭,刘禹锡,唐,湖光秋月两相和，潭面无风镜未磨。遥望洞庭山水翠，白银盘里一青螺。,25
poem_26,咏鹅,骆宾王,唐,鹅，鹅，鹅，曲项向天歌。白毛浮绿水，红掌拨清波。,26
poem_27,清明,杜牧,唐,清明时节雨纷纷，路上行人欲断魂。借问酒家何处有？牧童遥指杏花村。,27
poem_28,江雪,柳宗元,唐,千山鸟飞绝，万径人踪灭。孤舟蓑笠翁，独钓寒江雪。,28
